id	created_at	text	is_retweet	retweet_created_at	retweet_count	user_id	user_name	user_screen_name	user_created_at	user_followers_count	user_statuses_count	user_location	user_desc
1057495524507566080	Wed Oct 31 04:52:35 +0000 2018	RT @SethAbramson: (MEGA-THREAD) A *major* mystery in the Trump-Russia investigation—what type of illegal election assistance Israeli intel-…	1	Wed Oct 31 02:08:39 +0000 2018	1856	71840126	Paul Crowell	supapally	Sat Sep 05 16:43:56 +0000 2009	564	22058	Waterville, ME	Unafraid to live the Tao of Steve: be excellent, be humble, be gone. iOS UI/UX dev. #InvadeUS, #FeelTheBern #Snowden My tweets==My opinions, no harm intended.	
1057495524457279494	Wed Oct 31 04:52:35 +0000 2018	@politico I see him talking but I’m pretty sure Donald Trump has his hand up his ass and is speaking for him ... amazing puppeteering	0		0	54801086	georgeW	fakenews7177	Wed Jul 08 04:44:09 +0000 2009	19	707	Tyre, Lebanon 	speak the truth	
1057495524323049472	Wed Oct 31 04:52:34 +0000 2018	RT @lelalo123: Veterans slam Trump for border 'stunt' - CNN Politics https://t.co/AmhS4Xwdtk	1	Wed Oct 31 04:21:49 +0000 2018	6	834572923	Scott M.	scottf6f	Thu Sep 20 02:15:31 +0000 2012	2951	60485	United States	Trump not My Pres. VOTE BLUE. #Resist  #Impeachtrump  VOTE DEM Take the House  #cancersurvivorGo White Sox. Team in Progress.  Fishing/ Travel/ Historic Sites	
1057495524176203778	Wed Oct 31 04:52:34 +0000 2018	@jimfoxaz @SenGillibrand As opposed to trump who calls for violence at his rallies and portrays desperate migrants… https://t.co/QwXqSgrLAR	0		0	328045189	Stephen How-Weird	KCDorianGray	Sat Jul 02 16:42:46 +0000 2011	2310	42230	Border of 8 USA	KCAVP/Save 🌏/Fitness/🏳️‍🌈Twitter: Cyber Hospice 4 the Terminally Hip #Whovian #RESIST Proudly blocked by Chuck Woolery 😂	
1057495523937136640	Wed Oct 31 04:52:34 +0000 2018	RT @GrassrootsSpeak: Trump crashed a funeral today...actually he crashed a fewI'm trying to think of something worse then crashing funer…	1	Wed Oct 31 00:13:22 +0000 2018	1219	829913571991580672	Anti-Lord Dampnut	Duke_of_QF	Fri Feb 10 04:43:09 +0000 2017	3069	63084	Northern California, USA	Native Northern Californian, loving husband, father of 3, bleeding heart liberal, snowflake. #TheResistance #MakeAmericaSMARTAgain #trumprussia #FBR	
1057495523714834437	Wed Oct 31 04:52:34 +0000 2018	RT @marklevinshow: Can you explain your hypocrisy, Jim? https://t.co/OhcRHI2MbG	1	Wed Oct 31 03:27:32 +0000 2018	405	709123313960783872	Tamara Gordon	Trumpmissouri	Sun Mar 13 21:05:47 +0000 2016	576	24276	United States	Proud trump supporter taking our country back one vote at a time Americans first	
1057495523639345157	Wed Oct 31 04:52:34 +0000 2018	RT @RealDrGina: Gina Loudon: @RealDonaldTrump Was First Democrat to ‘Walk Away‘ #WalkAway https://t.co/MjtJDsloW4 via @BreitbartNews	1	Tue Oct 30 00:23:46 +0000 2018	2602	770144052037554176	Andi	andicatxo	Mon Aug 29 06:20:25 +0000 2016	218	37804	United States		
1057495523555454977	Wed Oct 31 04:52:34 +0000 2018	RT @CurtisHouck: WAIT, so you're telling me that the people who organized the protest of Trump visiting a synagogue where Jewish people wer…	1	Wed Oct 31 01:21:20 +0000 2018	1125	1023582770654838785	Greg Burdick	GregBurdick6	Sun Jul 29 14:55:24 +0000 2018	111	4130			
1057495523538726912	Wed Oct 31 04:52:34 +0000 2018	@V_actually @hillary if Trump said that https://t.co/83iQt2Pzwk	0		0	1012460581	LessPaul⭐️⭐️⭐️	LessPaul66	Sat Dec 15 03:35:16 +0000 2012	650	5227	Connecticut, USA	Biker, Patriot, and fully shadow banned. Proud to be followed by  General Flynn  Charlie Kirk  Tyler Zed and many more awesome people.	
1057495523299606529	Wed Oct 31 04:52:34 +0000 2018	RT @joefaz: The good Dr. Maddow has explained without exaggeration or rhetorical flourish how your vote could save America and place a chec…	1	Wed Oct 31 02:09:15 +0000 2018	80	701264221653217281	rci001 #ProofIResisted	rci001	Sun Feb 21 04:36:34 +0000 2016	1406	20767		Vietnam Era, Cold-War & OIF Veteran against the Trump racist-regime.	
1057495523165388801	Wed Oct 31 04:52:34 +0000 2018	RT @parscale: Our 6MM buy includes many different ads for different audiences. Here is another example of a successful GOTV ad. This one fo…	1	Mon Oct 29 21:46:07 +0000 2018	2415	439517291	WalkforJustice🇺🇸	villarre11	Sat Dec 17 21:53:46 +0000 2011	2615	59477			
1057495523001819137	Wed Oct 31 04:52:34 +0000 2018	BREAKING: Trump is PISSED After Illegal Invaders Get Massive Gift To Hel... https://t.co/x72kXFIMaW via @YouTube it… https://t.co/0U0iF5HWdN	0		0	980466049240809473	claudine even	claudine_even	Sun Apr 01 15:24:57 +0000 2018	5	223	United States	Politics	
1057495522733363200	Wed Oct 31 04:52:34 +0000 2018	RT @TVietor08: Trump wants a debate about ending birthright citizenship more than actually doing it. Democrats should say, ok see you in co…	1	Tue Oct 30 12:21:31 +0000 2018	13826	24431649	Jac Tiaf	jactiaf	Sat Mar 14 21:19:05 +0000 2009	90	1857	Denver, CO	I'm Just Passing Through Here, Just a Cat Taking in a Fight with Social Justice (and Super Turbo)	
1057495522611773447	Wed Oct 31 04:52:34 +0000 2018	RT @Isomco: @CMYKICKASSPAGE @krassenstein @realDonaldTrump called Ted Cruz a liar, disparaged his wife &amp; insinuated his father was a JFK as…	1	Sun Oct 28 02:17:23 +0000 2018	1	872062343601115137	LynSimpson9🍁🍁🐾🐾🐶🐈	LynSimpson9	Tue Jun 06 12:07:19 +0000 2017	2673	69698	Canada	Personal Support WorkerNot a Trump fan!Strongly believe in equality for all	
1057495522167218176	Wed Oct 31 04:52:34 +0000 2018	RT @AP_Politics: We have deleted a tweet about President Trump's claim that the U.S. is the only country that grants birthright citizenship…	1	Tue Oct 30 14:28:34 +0000 2018	22643	28335574	Shannon Richmond	ShanCanDo	Thu Apr 02 13:19:59 +0000 2009	63	2231	Phoenix, AZ		
1057495522154635265	Wed Oct 31 04:52:34 +0000 2018	RT @paolamendoza: Trump is a white supremacist. Trump is a white supremacist. Trump is a white supremacist. Trump is a white supremacist…	1	Tue Oct 30 14:36:21 +0000 2018	346	4703083585	Luke🎃👽💀👻	A_KillianGray	Sun Jan 03 14:08:51 +0000 2016	28	1378	Luke (he/him/his)	Coming out of my cage and I've been doing just guys. |-/	
1057495521617723392	Wed Oct 31 04:52:34 +0000 2018	RT @SwampyTrump: How the fuck is @BetoORourke not beating flip flopping trump sucker @tedcruz by 40 points?	1	Tue Oct 30 23:10:55 +0000 2018	1307	17238048	Peter Castiglia	motopatzo	Fri Nov 07 20:29:59 +0000 2008	2426	6383			
1057495521567391744	Wed Oct 31 04:52:34 +0000 2018	RT @CNN: It’s been very difficult to watch the last couple years, says comedian Dave Chappelle, relecting on Trump's presidency so far. C…	1	Wed Oct 31 04:46:00 +0000 2018	41	2823162631	☥ ℕ𝕀𝕂𝕂𝕀 𝕠𝕗 𝕎𝔸𝕂𝔸ℕ𝔻𝔸☥	HeyNikki1	Sun Sep 21 01:24:24 +0000 2014	10088	159781	𝕎𝔸𝕂𝔸ℕ𝔻𝔸 𝔽𝕆ℝ𝔼𝕍𝔼ℝ! 🌍	Vote. Organize. March. Protest. Boycott. #Resist #FreeTheChildren #FamiliesBelongTogether #EndFamilyDetention #BlueWave #VoteBlue #MagicResistance ✨#BlessedBe✨	
1057495521546379265	Wed Oct 31 04:52:34 +0000 2018	RT @morgfair: Analysis | A good sign Republicans have bailed on the House? Look where Trump’s going. https://t.co/iARzumjPNA	1	Wed Oct 31 04:33:57 +0000 2018	13	89761831	Al Gibson	starmediaguy	Fri Nov 13 18:31:58 +0000 2009	1323	71473	Rocky Mountains. 	Writer. Change agent. Proud resister. Look out, world, the women are coming.	
1057495521504493568	Wed Oct 31 04:52:34 +0000 2018	RT @ddale8: This case is under-discussed in the has Trump contributed to violence talk. Three supporters, who echoed his words about bull…	1	Tue Oct 30 12:18:09 +0000 2018	1133	405259338	Aidan Pongrace	AidanPongrace	Sat Nov 05 02:21:25 +0000 2011	155	426		A full on Monet❗️	
1057495521139548161	Wed Oct 31 04:52:34 +0000 2018	RT @nytimes: In the last days before a midterm election that will determine the future of his presidency, Trump seems to be throwing almost…	1	Wed Oct 31 04:32:02 +0000 2018	113	732385990577258497	Jlizzi	epbglizzi	Tue May 17 01:43:22 +0000 2016	166	69198			
1057495521013780481	Wed Oct 31 04:52:34 +0000 2018	RT @CNN: A man hatched a plot in 2016 with two others to kill Somali refugees by blowing up an apartment complex that had a mosque.His la…	1	Wed Oct 31 04:01:02 +0000 2018	214	786013812105289728	Penny Hill	pennyhmeow	Wed Oct 12 01:21:11 +0000 2016	460	42816		Country over Party. Always. 🇺🇸	
1057495520795639814	Wed Oct 31 04:52:34 +0000 2018	RT @WyattEarpLA: The same DNC puppets in the media that are freaking out about Trump sending the Military to the border to protect our coun…	1	Tue Oct 30 21:57:50 +0000 2018	468	2829046055	66's kid	nmatesfreedom	Tue Oct 14 05:54:32 +0000 2014	46	3014			
1057495520346861570	Wed Oct 31 04:52:34 +0000 2018	RT @dgoahn: Fuck trump https://t.co/D6VA4RnoUG	1	Tue Oct 30 17:31:44 +0000 2018	25	732801339235930112	Citlaltzin🥀	citlaltzin510__	Wed May 18 05:13:48 +0000 2016	92	3726	Hayward, CA	🇲🇽🍻🌴	
1057495520200085505	Wed Oct 31 04:52:33 +0000 2018	RT @charliekirk11: Facts:President Trump's White House is staffed by 374 employees, 95 fewer than ObamaTrump's payroll budget is $35.2…	1	Tue Oct 30 19:32:58 +0000 2018	10392	46171322	kimchee	saiwarlord	Wed Jun 10 17:35:02 +0000 2009	4441	73566	Washington, USA	1st generation Asian American woman living my dream! #MAGA #Trump #WalkAWay	
1057495520120373249	Wed Oct 31 04:52:33 +0000 2018	RT @WIgal2017: I LOVE THIS.SHOWS ABSOLUTELY DECEITFUL AND DISHONEST THE LEFT NEWS IS BUT ALSO HOW THEY HAVE TRIED TO PROPHESY FAILURE OVE…	1	Wed Oct 31 00:18:19 +0000 2018	1	4693274185	*~*	AlbaVeritas	Sat Jan 02 02:23:04 +0000 2016	4806	118100		Beauty is Truth	
1057495519101116416	Wed Oct 31 04:52:33 +0000 2018	RT @suhasinih: Trump finally makes R-day regrets public, leaves the government to face protocol questions. Was the MEA set aside by the PMO…	1	Wed Oct 31 01:51:03 +0000 2018	23	83587056	Paran Balakrishnan	ParanB_2012	Mon Oct 19 12:25:10 +0000 2009	2057	17497	New Delhi, India	Journalist	
1057495519096958976	Wed Oct 31 04:52:33 +0000 2018	RT @gotspeed2burn: Good breakdown of the 1898 SCOTUS ruling in the Wong Kim Ark case on Birthright Citizenship, et al.Did you know that t…	1	Tue Oct 30 22:12:49 +0000 2018	47	954380313299439621	@nancyredmondhuff	nancyredmondhu1	Fri Jan 19 15:49:33 +0000 2018	1514	46995	Georgia, USA	❌WWI Veteran/Grandfather; WWII Purple Heart Veteran/Father; Vietnam Veteran/Husband; Jesus is my Everything; #MAGA#KAG#1A#2A#Qanon#Patriot;🇺🇸🇺🇸🇺🇸🇺🇸❌	
1057495518471962625	Wed Oct 31 04:52:33 +0000 2018	RT @dylanmsmitty: It is a service to America and a sacrifice to be the President....unless you’re a crooked businessman like Donald Trump…	1	Wed Oct 31 04:50:03 +0000 2018	3	818457063768657920	Tina Boll	tina_boll	Mon Jan 09 13:59:04 +0000 2017	2072	9452	Connecticut, USA	I can tell by your top 3 tweets if you and I are going to get along. #IWillNotRelent  #Resist #TheResistance #VoteThemOut #FBR #WinterIsComing  No Lists	
1057495518455173122	Wed Oct 31 04:52:33 +0000 2018	@Alyssa_Milano @freedom_moates Are you aware the 14th amendment was meant to give victims of slavery and their chil… https://t.co/pcS9McLOCK	0		0	870816354928078855	Justin P. Honestman	JPOttGenX	Sat Jun 03 01:36:12 +0000 2017	59	1480	Martinsburg, WV	Government & Politics, Science Technology, Rock/Metal/Industrial Rock/Classical Music, Being Employed, Drums, Piano, and an Ice Cold Bud Light	
1057495518392320002	Wed Oct 31 04:52:33 +0000 2018	RT @GeorgeTakei: And there it is. With his planned “Birthright” order, Trump is planning to defy the very letter of the Constitution—which…	1	Tue Oct 30 21:35:34 +0000 2018	1200	633917594	Buffy McCloud	lambert7269	Thu Jul 12 17:56:06 +0000 2012	115	887	Huntington, WV		
1057495518329356289	Wed Oct 31 04:52:33 +0000 2018	RT @patrickwcuervo: 'At the end of the day, Ivanka Trump is her father’s greatest grift: the Jew who enables anti-Semitism, just as she is…	1	Wed Oct 31 02:55:29 +0000 2018	139	362547740	Julie C	politicsofJulie	Fri Aug 26 15:44:33 +0000 2011	385	7378	Chicago	Progressive politico pro. Swim mom. Jack's better half. Spoiler of rescue pets. Chicagoan by choice but Cards fan for life.	
1057495518325149696	Wed Oct 31 04:52:33 +0000 2018	RT @CNN: House Speaker Paul Ryan told a Kentucky radio station that you cannot end birthright citizenship with an executive order, remark…	1	Tue Oct 30 19:28:56 +0000 2018	337	1711091191	ScaRay 🎃👻🔮	Rachel_Cubb	Thu Aug 29 21:44:09 +0000 2013	614	58559	Connecticut	🏳️‍🌈Low notes, high spirits🏳️‍🌈 ECSU ‘21	
1057495517914120193	Wed Oct 31 04:52:33 +0000 2018	RT @tRickSalsman: Just asking...Did anyone see Trump say ANYTHING in Pittsburgh today?If an oaf tree falls and no one wants to cover th…	1	Wed Oct 31 03:53:50 +0000 2018	5	168396112	Rhonda	OUDreamer1	Mon Jul 19 06:17:58 +0000 2010	8020	21232	buried in a red state	love OU football, Thunder basketball, animals of all kinds, babies of any size and life however it comes at me! #Resist #BlueWave	
1057495517809307648	Wed Oct 31 04:52:33 +0000 2018	RT @FrankSharry: Rep. Jerrold Nadler (D-N.Y.), called Trump's [immigration] plans the desperate act of a desperate man who is constantly…	1	Wed Oct 31 04:31:12 +0000 2018	5	830148213210542081	Oodie	squishieg	Fri Feb 10 20:15:32 +0000 2017	603	65964		Dogs, wildlife,animals,environment, are all key to a happy life. Super Who Lock, Marvel, DC, #TheResistance,	
1057495517771513856	Wed Oct 31 04:52:33 +0000 2018	RT @DeadlineWH: The first funerals for victims of the tragic shooting inside the Tree of Life Synagogue are taking place... Donald Trump i…	1	Tue Oct 30 20:21:06 +0000 2018	557	818415349179842561	marion jones	mimijones58	Mon Jan 09 11:13:19 +0000 2017	138	6133			
1057495517620518912	Wed Oct 31 04:52:33 +0000 2018	RT @DFBHarvard: Nationalist!Nationalist!Nationalist!Nationalist!Nationalist!It's sort of fun saying it!Nationalist!Nationalist!Es…	1	Wed Oct 31 02:15:27 +0000 2018	432	2832704894	Al Bradley	4AlBradley	Fri Sep 26 08:18:08 +0000 2014	98	513	Roswell, GA	Husband, Father, and Forester, Certified Arborist, Consulting Utility Forester	
1057495517473751041	Wed Oct 31 04:52:33 +0000 2018	RT @RBReich: I keep hearing that although Trump may be a scoundrel or worse, he’s done a great job for the economy. Baloney. Here's the tru…	1	Tue Oct 30 20:54:52 +0000 2018	2892	898668561404641280	Tiger Wiese Jones	TigerWieseJones	Fri Aug 18 22:10:56 +0000 2017	662	14042		Dump Trump! End corporate rule! REUNITE the children! No more conservative activist judges!#Basta Democratic Socialist, rep the country, not just the ignorant.	
1057495517314379782	Wed Oct 31 04:52:33 +0000 2018	RT @renato_mariotti: Reporting potential crimes to the FBI is what citizens are supposed to do. If Trump’s friends and family had reported…	1	Wed Oct 31 01:03:08 +0000 2018	404	18597664	Cat Pre-Existing Condition Becky	mplscorwin	Sun Jan 04 06:53:50 +0000 2009	1574	21023	Minnesota	Married, five kids, he/itsA little from column eh.	
1057495515770826752	Wed Oct 31 04:52:32 +0000 2018	RT @Jacquel42750745: @PamelaUnplugged @sookie1_ 🇺🇸🇺🇸🇺🇸American TRUMP cares about it citizens especially Jews🇮🇱🇮🇱🇮🇱It’s the past admin that…	1	Wed Oct 31 04:38:27 +0000 2018	1	279294502	Sookie1_🙈🙉🙊	sookie1_	Sat Apr 09 00:20:40 +0000 2011	6210	140120		I'm a Christian,& widow of Vietnam era vet n daughter of a cop!Been shooting since I was a kid.Sig P938 Rosewood,.32 Colt Cobra,Glock43,.357 Magnum,Ruger SR9C	
1057495515460444160	Wed Oct 31 04:52:32 +0000 2018	RT @kylegriffin1: He is giving a platform for the closet racists to come out and have a voice, Steve Gelernter, a Republican who lives in…	1	Wed Oct 31 01:10:32 +0000 2018	319	4836502720	still with her	hofmannlm	Fri Jan 22 21:32:59 +0000 2016	328	13347	Delaware	Mom of rescued kitten bros.; sassy/snarky tallship sailor. #NeverTrump #NastyWoman #TheResistance #grabyourwallet #ImWithPP #FFTF #LOTK	
1057495515066175488	Wed Oct 31 04:52:32 +0000 2018	RT @grizzlemeister: CNN Darling Dopey Don Lemon gets blistered by Steve Scalise over ignorant remarks about Dems not killing people &amp;commit…	1	Tue Oct 30 21:54:03 +0000 2018	943	4787783837	PassTheTequila	Love_TimHortons	Tue Jan 12 21:15:14 +0000 2016	545	105182	United States	who gets the 🐛	
1057495515041030146	Wed Oct 31 04:52:32 +0000 2018	@JamilSmith Correction: Trump wants us talking about his desire to do it.	0		0	41205522	Rex Mantlepiece	DerekP23	Tue May 19 20:43:05 +0000 2009	197	7988	Seattle, WA	Chris Sacca liked a tweet of mine once.	
1057495514600615938	Wed Oct 31 04:52:32 +0000 2018	RT @ChuckWendig: TRUMP: I've decided to eat babies.PEOPLE: He can't eat babies, that's super illegal.TRUMP, on TV, eating babies, n…	1	Tue Oct 30 13:03:36 +0000 2018	10626	827645724170936320	presser at the holiday inn	StuffUrSorrys	Fri Feb 03 22:31:32 +0000 2017	1269	13345		I'm petty af.	
1057495514269343744	Wed Oct 31 04:52:32 +0000 2018	RT @plumpudding48: ALL ABOARD THE TRUMP TRAIN #65Great Patriots @PiersonMarianne @simon_sacev3773 @fcgalleyslave @jenlcoates @plumpu…	1	Wed Oct 31 04:49:20 +0000 2018	4	449356938	AnnJones	Annjones38	Thu Dec 29 01:27:49 +0000 2011	16833	15304	America	#KAG..	
1057495514248306688	Wed Oct 31 04:52:32 +0000 2018	RT @AsteadWesley: Truly the most Kanye moment ever:He donned the MAGA hat, met Trump at the WH, had other rappers insulting him online, a…	1	Tue Oct 30 21:58:00 +0000 2018	978	838086238636818434	Relentless PR	Relentless_PR	Sat Mar 04 17:58:24 +0000 2017	52	631	SD ✈️ D.C.	Strategic Marketing + PR Firm // Brands + Athletes #WeAreRelentless	
1057495514168680449	Wed Oct 31 04:52:32 +0000 2018	RT @Lawrence: Why aren't Democrats running on what Trump &amp; Republicans have done to the debt? Why? https://t.co/N0IiAsrOZY	1	Tue Oct 30 15:27:05 +0000 2018	9125	32790732	Stephanie ✨	stephgarrigus	Sat Apr 18 04:44:01 +0000 2009	51	2911		Oh! I know!! Idea originator. Above titles and classifications; Tennis scrub and Dutch uncle to the jet set.	
1057495513946382341	Wed Oct 31 04:52:32 +0000 2018	RT @GKeile: Hey Republicans if you want that glorious feeling we had the night Donald J Trump won the presidency and seeing all the MSN and…	1	Wed Oct 31 03:57:05 +0000 2018	172	2813812456	WhoNu	Ahimsika	Tue Oct 07 12:44:47 +0000 2014	7503	30618	California, USA	On GAB: @WhoNu 🇺🇸 #LibsAreVermin LIBERALISM is a mental disease #MAGA #TermLimits. #GetOnGab #VoterID #TrumpArmy #LibsRacists #WalkAway #ImaDreg #Blexit	
1057495513719812096	Wed Oct 31 04:52:32 +0000 2018	RT @crewislife: Via @Slate: Watch Seth Meyers Run Down the Latest Long List of Horrible Things That Happened https://t.co/hcrlD14oJc https:…	1	Tue Oct 30 04:51:51 +0000 2018	1	17643749	вяєт fυςкιтσℓ	crewislife	Wed Nov 26 05:58:00 +0000 2008	7547	805343	Fact Based World	Desert Shield/Storm #Vet, #Progressive, #Atheist, 🏳️‍🌈. Enjoy politics, 👨🏼‍🔬🔬, 🏋️, 🌯 and 🍪. I follow/unfollow back. #NotMyPresident #BDS #Resist	
1057495513715609600	Wed Oct 31 04:52:32 +0000 2018	RT @DanRather: Think about this headline: Trump claims he can defy Constitution and end birthright citizenship - VP Pence echoes, says Su…	1	Tue Oct 30 18:15:17 +0000 2018	6775	19406887	Jennifer Meyer	jentaps	Fri Jan 23 18:42:23 +0000 2009	516	22747	El Dorado Hills, CA	Colbert fan, political junkie, tap dancer, NYT xword puzzle doer, reader, Cardiovascular Tech/Radiologic Tech, Better Call Saul fan, #Resist	
1057495513652695040	Wed Oct 31 04:52:32 +0000 2018	@MaddowBlog @MSNBC @Morse4America and @KatieHill4CA are going to upset the  Republican Trump-hugger doormat candidates.	0		0	878488342211444737	Uncle Rico	fubar2626	Sat Jun 24 05:41:57 +0000 2017	112	9163	Honolulu, HI	Navy Corpsman.	
1057495513635962881	Wed Oct 31 04:52:32 +0000 2018	RT @SenBlumenthal: It’s called demagoguery—fanning flames of hatred &amp; false fear, &amp; offering unlawful, ineffectual solutions like an execut…	1	Tue Oct 30 15:58:23 +0000 2018	842	54743209	bemuir	bemuir_ronkon79	Wed Jul 08 00:52:53 +0000 2009	14691	64971	United States	Yesterday is not ours to recover, but tomorrow is ours to win or lose. LBJ. Third gen fed 🌈FBR🌊🌊Country Over Party Resistance; NeverAgain	
1057495513392734208	Wed Oct 31 04:52:32 +0000 2018	RT @eriqgardner: WOWZA. Check out this cease and desist sent by Pharrell Williams to Donald Trump for using “Happy” on “the day of the mass…	1	Mon Oct 29 23:53:24 +0000 2018	19976	1615443944	Trinity💕🦄	trintrin181	Tue Jul 23 14:52:13 +0000 2013	1583	14834		Jesus saves❤️✨ #Gramfam22🐯💛🖤                                 Snapchat:Trillytee14	
1057495512188940288	Wed Oct 31 04:52:32 +0000 2018	RT @BostonBrand71: Awesome piece. @TheRickWilson breaks it down beautifully -  The 6 Types of Trump Trolls as Told by Rick Wilson https://t…	1	Wed Oct 31 02:26:36 +0000 2018	84	764031677618192384	Julie	JulieAnnLily	Fri Aug 12 09:32:02 +0000 2016	4011	76133		Hillary is my President! Liberal democrat, feminist, animal lover, yoga addicted, political ranter,ISU #imwithher,#unhackthevote,#indivisible,#theresistance	
1057495511933112320	Wed Oct 31 04:52:32 +0000 2018	RT @gatewaypundit: HUGE. Black Support for President Trump Reaches 25% a Week Before Midterm Election https://t.co/sduN5KDMuu via @gatewayp…	1	Wed Oct 31 04:49:45 +0000 2018	21	827768713856192513	#ReleaseTheMemo	deplorableGOP13	Sat Feb 04 06:40:15 +0000 2017	1280	126501	Washington, USA	Follow me https://t.co/ZJFc83IxSz	
